x,y,z
107.0,104.0,75.0
104.74526,87.25535,74.97639
103.10283,74.03518,74.71181
101.866356,63.296555,73.880875
100.9178,54.56848,72.27274
100.185135,47.64932,69.843796
99.61747,42.468647,66.6876
99.17298,39.019356,62.983685
98.81169,37.31456,58.950462
98.492584,37.35453,54.809105
98.17348,39.101837,50.76186
97.81157,42.464973,46.98003
97.36815,47.293518,43.6024
96.811134,53.381767,40.737297
96.11817,60.480595,38.46785
95.27906,68.31409,36.857998
94.29527,76.59706,35.95705
93.18086,85.05318,35.803753
91.958984,93.42882,36.42752
90.65942,101.50368,37.848648
89.31528,109.09712,40.077023
87.95873,116.06912,43.109795
86.61943,122.32018,46.929665
85.32152,127.786514,51.502556
84.081535,132.43292,56.775986
82.909256,136.24841,62.67952
81.80698,139.23816,69.12527
80.77037,141.41779,76.00989
79.790085,142.80899,83.21809
78.85318,143.43611,90.62655
77.94461,143.32379,98.10869
77.04898,142.49664,105.53943
76.15174,140.97919,112.8
75.24017,138.79721,119.7819
74.30412,135.97868,126.39051
73.33657,132.55614,132.54733
72.33339,128.56747,138.19112
71.29352,124.057434,143.27803
70.21848,119.078064,147.7807
69.11212,113.689026,151.6864
67.98004,107.95682,154.99442
66.829346,101.95392,157.7132
65.668045,95.75727,159.85738
64.504906,89.44631,161.44489
63.34912,83.10106,162.49416
62.20997,76.79991,163.02249
61.096825,70.6175,163.04434
60.018745,64.62284,162.5708
58.98445,58.8776,161.60962
58.00202,53.434853,160.16583
57.07872,48.338047,158.2428
56.220757,43.62053,155.8438
55.433155,39.305466,152.97383
54.719513,35.40609,149.64098
54.081978,31.92646,145.85817
53.521152,28.862411,141.64433
53.036266,26.202908,137.02516
52.625244,23.93149,132.0335
52.284966,22.027935,126.70909
52.011665,20.47,121.098114
51.801224,19.235027,115.25204
51.649673,18.301666,109.22636
51.553543,17.65125,103.079285
51.510323,17.269073,96.86999
51.518852,17.145317,90.65741
51.579514,17.27563,84.49892
51.69465,17.661406,78.44925
51.868546,18.309502,72.55975
52.107555,19.231632,66.87781
52.420055,20.443283,61.446552
52.81633,21.962261,56.30467
53.308273,23.806877,51.4862
53.909134,25.99391,47.02058
54.632965,28.536413,42.93243
55.49419,31.441574,39.24145
56.50676,34.70865,35.96231
57.683464,38.3273,33.104637
59.034847,42.27626,30.673178
60.568134,46.522594,28.668251
62.285976,51.02153,27.086721
64.18503,55.71693,25.923342
66.25455,60.54232,25.172722
68.475006,65.422485,24.831654
70.81703,70.27549,24.901735
73.240715,75.01525,25.391897
75.69567,79.55442,26.320538
78.122314,83.80785,27.716724
80.45435,87.69652,29.620216
82.62309,91.15197,32.079666
84.56319,94.12141,35.149216
86.21977,96.57281,38.883232
87.556206,98.49952,43.32978
88.560646,99.9236,48.523193
89.25015,100.89645,54.476433
89.66991,101.495094,61.17334
89.88623,101.81388,68.55896
89.97339,101.95112,76.523544
89.99696,101.993034,84.86996
89.99995,101.99985,93.24478
90.0,102.0,101.000336
